Rank,Product Name,Title,Gravity,Movement,Initial $/Sale,Av $/Sale,Rebill $,First Seen Date
1,JAVABURN,Java Burn,698.6880,7.2376,$148.08,$149.00,$70.46,2021-08-09
2,GENIUSBR,The Genius Wave,377.4248,4.0212,$46.82,$46.87,$0.68,2023-10-13
72,CARDIOSHIE,Cardio Shield,40.0947,3.1763,$121.04,$121.04,$0.00,2022-08-19
61,CRITICALB,Neuro-Balance Therapy VSL - Physical Offer with Therapy Tool,45.6391,3.1420,$43.21,$47.36,$5.04,2008-12-21
53,POTENTSTR,"PotentStream-$4EPC On Our Unique& Improved ""Pee in 0 Gravity"" Protocol",53.0509,2.9326,$130.20,$130.20,$0.00,2024-02-26
10,JOINTGEN,Joint Genesis,153.0652,2.8550,$146.58,$147.17,$90.11,2022-09-09
40,WEALTHSIG,The Wealth Signal,63.1345,2.6110,$48.08,$48.31,$3.13,2024-01-30
35,SEROLEAN,SeroLean - NEW!!! EXPLOSIVE Weight Loss VSL!,69.0502,2.4369,$102.53,$102.53,$0.00,2023-04-05
13,NOTORITY,The Divine Prayer - The Second Best Manifestation Offer In The WORLD!,131.5711,2.3504,$67.97,$67.97,$6.86,2023-09-08
181,TRYOLIVINE,Olivine Relaunched 2024! TSL + VSL Available!,16.8775,1.9734,$148.82,$148.82,$31.28,2023-09-05
102,NEUROPURE,NeuroPure,28.1058,1.9431,$117.31,$117.31,$0.00,2022-01-10
65,NEUROZOOM,NEUROZOOM - The Golden Brain Health Offer,43.4129,1.9264,$150.47,$150.47,$0.00,2023-09-20
292,AFREQUENCY,"Abundance Frequency– Daily Comms Maker, created by a CB Diamond Vendor",8.7890,1.7588,$55.07,$55.07,$0.00,2023-03-02
57,SLIMCRYSTA,SLIMCRYSTAL - Unique Offer Huge Payouts - up to $300/Sale & $3.9 EPC,48.8746,1.5723,$113.72,$113.72,$0.00,2021-09-23
25,LBTONIC,Nagano Tonic,93.4761,1.4162,$140.64,$140.64,$0.00,2023-08-01
123,GUTOPTIM,GutOptim: $4 EPC On Original Gut-Repair Formula,23.6423,1.3396,$139.53,$139.53,$0.00,2024-01-10
169,TUPITEA,Tupi Tea - HOT NEW Male Enhancement Product,18.2074,1.3247,$137.09,$286.98,$35.57,2023-02-14
133,TITANFLOW,TitanFlow Prostate Support Supplement,22.0905,1.2863,$139.43,$139.43,$0.00,2024-02-23
27,NEUROTHRIV,Neuro-Thrive Brain Support,92.0684,1.2855,$160.85,$160.85,$0.00,2023-09-15
114,RESURGE,Resurge - The Godzilla of Offers,25.6158,1.2722,$114.75,$115.32,$30.41,2020-02-13
149,PINEALGRDN,Pineal Guardian - Brand New Brain Health Supplement for 2024!,21.0036,1.2499,$149.01,$149.01,$0.00,2024-05-02
98,PAWBIOTIX,Pawbiotix - Unique Pet Probiotic Formula,28.8715,1.2087,$129.06,$129.06,$0.00,2023-07-20
56,GLUCO6,Gluco6 - Now Open To Everyone!,50.5955,1.1946,$135.05,$135.05,$0.00,2023-06-23
54,NANODEFPRO,NanoDefense Pro $4 EPC On Unique Nano-Ingredients Fungus Formula,52.6749,1.1156,$95.42,$95.42,$0.00,2023-12-06
92,VIGORTONIC,Emperor’s Vigor Tonic - $4 EPC On Unique ED Tonic,31.7233,1.1001,$111.40,$111.40,$0.00,2023-05-31
130,LAWGENESIS,The Law Of Genesis - 75% Commission On Full Funnel,22.9988,0.9780,$63.86,$63.86,$0.00,2024-01-16
344,PTTRIM,PT T R I M - WEIGHT LOSS SEASON'S SECRET WEAPON,7.1180,0.9512,$140.81,$140.81,$0.00,2021-12-14
18,QUIETPLUS,"Quietum Plus - Top Offer, Now Even Better",111.6298,0.9110,$116.53,$116.53,$0.00,2020-10-30
186,FBSHAKE,Lanta Flat Belly Shake,15.9463,0.8767,$146.50,$146.50,$0.00,2021-06-17
71,BIOVANISH,BioVanish,40.8676,0.8591,$123.73,$123.73,$0.00,2023-01-25
138,DMSUPPS,Cacao Bliss,21.6918,0.8430,$65.74,$69.75,$0.89,2018-01-12
241,PROVASLIM,ProvaSlim - First affiliate CONTEST! More Details in affiliate page,10.9868,0.7906,$141.31,$141.31,$0.00,2022-10-18
202,TEXTCHEM,Text Chemistry by Amy North 2024 UPDATE!,14.2801,0.7824,$51.48,$51.48,$0.00,2018-05-03
175,MMARRIAGE,Mend The Marriage - 75% Upfront With Multiple Recurring Upsells!,17.2164,0.7492,$39.17,$53.44,$56.53,2014-12-02
142,SONOVIVE,SonoVive - Monster In The Hearing Loss Niche,21.3762,0.7223,$143.05,$143.05,$0.00,2022-03-22
136,KATESPRING,The Obsession Method -- UPDATED 2024,21.8712,0.7220,$63.90,$63.90,$0.00,2019-06-05
229,ABIOHEALTH,Neurodrine,11.5621,0.7168,$134.39,$134.39,$0.00,2021-10-20
47,VENOPLUS8,VENOPLUS 8 - TRENDING Heart Health Offer,57.8041,0.7165,$127.30,$127.30,$0.00,2024-04-01
119,LEANBLISS,LeanBliss: $4 EPC On Unique Chocolate Weight Loss Breakthrough,24.9552,0.7106,$130.91,$130.91,$0.00,2023-09-29
264,ENDOPUMP,Endo Pump - Male Enhancement MONSTER with KILLER REBILLS,10.1899,0.6924,$157.48,$374.64,$46.11,2023-05-25
291,TESTOCHEWS,TestoChews - Clickbank's ONLY Testosterone Boosting Gummy Candy Offer!,8.8896,0.6713,$83.40,$83.40,$0.00,2022-06-17
3,PURACLICK,Puravive,375.3724,0.6351,$127.73,$127.73,$0.00,2023-10-14
246,MEETYS,Attract men / women / get your ex back products -for men and women,10.8896,0.6096,$46.68,$74.75,$15.67,2008-12-21
239,WEALTHSCR,Wealth Script - New For 2024 High EPCs,11.0092,0.5829,$48.07,$48.07,$0.00,2024-03-26
234,PROTOFLOW,Protoflow - Convert Clicks Into Cash Now!,11.1950,0.5752,$123.00,$123.00,$0.00,
347,SYNERGEXJV,Synergex 7,6.9534,0.5719,$108.15,$108.15,$0.00,2022-08-23
